品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
7,5002,"幼児加算（手術）（３歳以上６歳未満",1.5,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
7,5010,"陥入爪手術　簡単",1400,"指",,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
7,5021,"非観血整復的　足他",1440,,,,5,0,5,,,,5,,,,,,,,,,,0,0,0,
7,5022,"非観血的整復　手",1440,,,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
7,5023,"非観血的整復　前腕",2040,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
7,5024,"非観血的整復　下腿",2040,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
7,5026,"非観血的整復　上腕",1840,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
7,5027,"非観血的整復　鎖骨",1440,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
7,5028,"非観血的整復　膝蓋",1440,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
7,5040,"腱鞘切開術（関節鏡",2350,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
7,5043,"創傷処理達しない小",530,,,,6,0,6,,,,6,,,,,,,,,,,0,0,0,
7,5044,"創傷処理達しない中",950,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
7,5072,"トリガポイント注射",70,,,,44,0,44,,,,44,,,,,,,,,,,0,0,0,
7,5079,"仙骨部ブロック　１",340,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
7,5094,"脱臼非観血的　小児",960,,,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
7,5104,"小児創傷処置５",500,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
7,5500,"労　手術１．５加算",1.5,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
7,9948,"麻酔　休日加算",1.8,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
7,9970,"手術休日",1.8,,,,7,0,7,,,,7,,,,,,,,,,,0,0,0,
7,9975,"手術　乳児加算",2,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
8,213,"末梢血液像（自動機械法）",15,,,,43,0,43,,,,43,,,,,,,,,,,0,0,0,
8,818,"抗核抗体（蛍光抗体法）定性",99,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
8,1297,"Ｂ－ＣＲＰ",16,,,,23,0,23,,,,23,,,,,,,,,,,0,0,0,
